# Summary generated on 2022-03-16 17:49:26.628043 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating
#      identifier   ;     Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations
# ------------------; --------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20220304223730_xmDgn; 2459643.442719263025; 2022-03-04 22:37:30.944325;    -1;  ...; 344.027152; 176.346782; 254.89722;  0.0428;  +0.86923;  1.7032; 253.50286;  0.2515; +23.44619;  1.6891;  66.68164;  0.5182; 253.78757;  0.5331; +40.43886;  2.7596;  40.90286;  0.2326;    7.646683;  4.7936;   0.870308;  0.0216; 139.560895;  2.7656; 180.391660;   0.6481; 344.026180;   0.0001; 164.417840;  0.6482;  -0.254045;  0.5298;   0.991715;  0.0002; 359.607132;  0.6480; 359.986583;  0.0109;   14.301652;  9.5874;   0.046612;  0.0090;  21.145127; 29.9617;  -0.228148;  0.0905; 254.70021;  0.0449;  +1.17931;  1.6896;  95.27517;  1.4620;  10.46409;  0.9226;  67.98936;  0.5110;  67.48587;  0.5214;    32.287979;  0.0062;    34.284706;  0.0018; 111.2580;    0.42;    32.328123;  0.0062;    33.757826;  0.0036; 102.1153;    0.37;     0.80;  -2.22; 104.4887; 0.740; 2.56e-04;  5.12;        51.29;   True;   True;    2; IL0002,IL0004
20220304224150_S5WqZ; 2459643.445726041216; 2022-03-04 22:41:50.729961;    -1;  ...; 344.030166; 138.948516; 176.35486;  0.5061; +58.08245;  0.7591; 145.07253;  0.9555; +49.94327;  0.5237;  19.27152;  0.4923;  92.37815;  0.0339; +22.33770;  0.5045;  38.80877;  0.4463;    3.135197;  0.5858;   0.715948;  0.0346;  23.407980;  0.5252; 220.925940;   1.1813; 344.031254;   0.0001; 204.957193;  1.1814; -15.084810;  0.0973;   0.890558;  0.0031; 319.071429;  1.1814; 354.909128;  0.9697;    5.379836;  1.1687;   0.177544;  0.0303;   5.551341;  1.7450;   2.654515;  0.1986; 175.00091;  0.4293; +57.63794;  0.7143;  62.64270;  2.0955;  69.22573;  0.2084;  22.33655;  0.4295;  21.36655;  0.3728;    52.983821;  0.0007;    -4.182294;  0.0004;  84.4555;    0.10;    52.973775;  0.0004;    -4.214501;  0.0001;  77.9668;    0.05;     0.32;  +2.08;  81.2808; 0.489; 2.32e-05; 26.62;        55.56;   True;   True;    2; UK0042,UK004M
20220304224339_O3E01; 2459643.446988378186; 2022-03-04 22:43:39.795875;    -1;  ...; 344.031431; 142.973410; 238.22210;  0.4512; +40.57744;  0.1232; 219.83496;  0.5858; +58.60797;  0.1948;  42.34501;  0.2981; 119.43743;  0.9771; +65.06464;  0.1529;  39.86171;  0.2574;    4.433008;  0.8179;   0.799027;  0.0212;  71.922509;  0.2314; 219.542124;   0.3594; 344.030527;   0.0000; 203.572651;  0.3593; -37.244608;  0.3804;   0.890914;  0.0030; 320.456798;  0.3594; 357.142246;  0.3972;    7.975102;  1.6383;   0.105598;  0.0146;   9.333584;  3.0447;   1.518389;  0.1239; 237.31490;  0.4312; +41.05921;  0.1247;  58.80326;  0.3093;  28.48134;  0.2243;  44.00002;  0.2886;  43.59785;  0.3247;    51.293173;  0.0002;    -0.612336;  0.0013;  93.6718;    0.08;    51.234423;  0.0002;    -0.766575;  0.0013;  86.7562;    0.09;     0.32;  +0.31;  91.1487; 0.365; 3.01e-05; 63.87;        45.58;   True;   True;    7; UK0001,UK000F,UK002C,UK0038,UK003M,UK003S,UK0049
20220304224616_M8Gha; 2459643.448797396850; 2022-03-04 22:46:16.095088;    -1;  ...; 344.033245; 186.158526; 190.13400;  0.0160;  -1.27008;  0.0335; 189.81226;  0.0208;  +2.84482;  0.0307;  36.77410;  0.0027; 140.71767;  0.0136;  +2.93811;  0.0313;  35.59340;  0.0111;    1.698902;  0.0026;   0.932019;  0.0000;   7.385658;  0.0764; 326.246321;   0.0440; 344.043190;   0.0001; 310.289511;  0.0441;  -4.095778;  0.0452;   0.115493;  0.0002; 213.743641;  0.0441; 344.305928;  0.0347;    3.282310;  0.0050;   0.445094;  0.0010;   2.214384;  0.0051;   3.474004;  0.0043; 190.84519;  0.0156;  -0.36744;  0.0325; 173.35397;  0.0220;  45.09253;  0.0325;  38.43957;  0.0026;  38.09910;  0.0019;    44.353126;  0.0000;    41.918253;  0.0000;  99.0730;    0.01;    44.461647;  0.0000;    41.900583;  0.0000;  86.7417;    0.00;     0.50;  +1.00;  92.1727; 0.560; 2.63e-05; 44.69;         8.58;   True;   True;    2; RU000M,RU0012
20220304224844_nOTn1; 2459643.450517847203; 2022-03-04 22:48:44.741998;    -1;  ...; 344.034970; 150.640440; 156.50261;  0.2573; +38.14910;  0.1287; 143.51467;  0.2006; +26.23357;  0.1577;  16.75572;  0.0602;  95.16483;  0.0741; +11.06898;  0.0962;  38.57396;  0.0443;    2.946087;  0.0351;   0.714253;  0.0031;  11.844702;  0.1074; 230.406565;   0.2222; 344.039075;   0.0000; 214.445639;  0.2222;  -9.100710;  0.0973;   0.841835;  0.0010; 309.588170;  0.2222; 353.412564;  0.1339;    5.050339;  0.0697;   0.194911;  0.0033;   5.056721;  0.0915;   2.797253;  0.0189; 157.48333;  0.2390; +39.05722;  0.1131; 155.44057;  0.8874;  77.13833;  0.1094;  20.13584;  0.0502;  18.88719;  0.0267;    50.991332;  0.0001;     5.779170;  0.0002;  79.2939;    0.01;    51.008909;  0.0001;     5.766272;  0.0003;  69.7746;    0.01;     0.57;  -0.22;  74.9643; 0.455; 3.81e-04; 78.46;        41.86;   True;   True;    3; BE0001,BE0006,BE000A
20220304224901_6wN5C; 2459643.450709309429; 2022-03-04 22:49:01.284335;    -1;  ...; 344.035161; 142.810252; 212.12050;  2.3843; +41.27813;  0.4265; 189.29855;  2.0524; +49.83750;  1.2641;  35.87055;  1.0256; 119.49116;  1.4121; +43.63247;  1.3508;  39.72613;  1.0043;    4.206184; 45.2357;   0.833508;  0.0654;  53.655794;  1.1143; 249.291409;   1.4007; 344.034758;   0.0000; 233.326167;  1.4007; -48.888428;  0.3285;   0.700295;  0.0140; 290.707178;  1.4007; 355.536654;     nan;    7.712074; 90.4704;   0.114254;  0.0352;   8.626469;     nan;   1.826024;  0.4826; 211.44907;  2.3070; +41.63555;  0.4520;  76.96932;  2.0704;  44.40269;  1.0592;  37.73906;  0.9832;  36.57392;  1.6996;    54.753882;  0.0010;    -2.118439;  0.0038; 103.9412;    0.42;    54.738322;  0.0021;    -2.234277;  0.0016;  96.3339;    0.30;     0.30;  +0.46;  98.4111; 0.727; 3.70e-05;  8.22;        53.56;   True;   True;    2; UK002X,UK004V
20220304224940_SqTiu; 2459643.451163424645; 2022-03-04 22:49:40.519889;    -1;  ...; 344.035617; 136.969341; 184.61364;  1.5775;  -3.36728;  0.2356; 185.56978;  1.4634;  -1.25784;  0.6268;  33.20809;  0.3370; 133.65023;  0.8065;  -1.18414;  0.5725;  35.30958;  0.7769;    1.635858;  0.1593;   0.885195;  0.0047;   2.341243;  1.0946; 136.599802;   2.9241; 164.018942;   0.0093; 300.618744;  2.9164;   1.608408;  0.8278;   0.187805;  0.0157; 223.415494;  2.9164; 341.836201;  2.7652;    3.083912;  0.3048;   0.471071;  0.0719;   2.092277;  0.3047;   3.702586;  0.2999; 184.17357;  1.5207;  -2.08657;  0.2243; 123.11667;  1.3554;  28.89439;  0.9837;  35.27512;  0.3200;  35.55167;  0.5258;    41.640618;  0.0013;    -8.124135;  0.0007;  90.3386;    0.14;    41.690761;  0.0008;    -8.226739;  0.0016;  84.6404;    0.10;     0.33;  -1.10;  88.3136; 0.355; 1.78e-04; 14.66;        71.99;   True;   True;    2; ES0006,ES0008
20220304225148_AysXf; 2459643.452643520199; 2022-03-04 22:51:48.400145;    -1;  ...; 344.037100; 159.828941; 110.49614;  0.2157; -23.83099;  1.6418; 117.11754;  0.6433; -45.35801;  1.5915;  10.76387;  0.3357;  81.62252;  0.1953; -12.04983;  0.6594;  36.68926;  0.1369;    2.002720;  0.0485;   0.516968;  0.0114;  12.153210;  0.6685;  21.884503;   0.2289; 164.031649;   0.0003; 185.916151;  0.2291;   4.500683;  0.2825;   0.967379;  0.0008; 338.120289;  0.2291; 353.935974;  0.1827;    3.038061;  0.0978;   0.347756;  0.0117;   2.834202;  0.1046;   3.636827;  0.0568; 119.23604;  0.0857; -12.07357;  1.7197; 223.19075;  0.9573;  21.61806;  1.4467;  15.26407;  0.2368;  14.47722;  0.0928;    45.741650;  0.0012;    14.201313;  0.0003;  80.6018;    0.10;    45.792973;  0.0010;    14.270168;  0.0003;  77.4654;    0.07;     0.57;  +2.14;  79.0540; 0.493; 6.19e-05;  9.47;        24.75;   True;   True;    2; HR0001,HR000Q
20220304225337_akWwJ; 2459643.453905863222; 2022-03-04 22:53:37.466582;    -1;  ...; 344.038367; 151.510151; 178.69074;  0.7093; +79.67971;  0.1893; 114.38691;  0.5097; +64.29267;  0.0482;  16.02793;  0.0608;  80.61045;  0.0989; +22.09351;  0.0919;  38.39418;  0.0110;    2.816671;  0.0075;   0.652929;  0.0010;  22.225398;  0.0961; 195.435607;   0.2159; 344.040006;   0.0000; 179.475613;  0.2158;  -5.777956;  0.1020;   0.977585;  0.0004; 344.561510;  0.2158; 357.521004;  0.0312;    4.655757;  0.0152;   0.208497;  0.0008;   4.727209;  0.0189;   2.879301;  0.0050; 175.41171;  0.5789; +76.89492;  0.1517;  11.45983;  0.4102;  62.45905;  0.0695;  19.52537;  0.0499;  19.20437;  0.0287;    50.910163;  0.0004;     5.425734;  0.0005;  95.7971;    0.05;    50.825747;  0.0003;     5.398684;  0.0004;  77.2038;    0.03;     1.15;  -0.67;  81.0523; 0.793; 7.55e-04; 51.84;        96.32;   True;   True;    3; BE0001,BE000A,FR000F
20220304225442_5qAMn; 2459643.454655497801; 2022-03-04 22:54:42.235010;    -1;  ...; 344.039117; 143.793019; 144.46155;  0.3961; +18.56391;  0.4603; 140.66440;  0.4816;  +4.18239;  0.3482;  14.29034;  0.0139;  93.55621;  0.1292;  +1.57522;  0.1284;  37.88744;  0.0868;    2.508748;  0.0487;   0.660617;  0.0054;   1.670828;  0.1351; 229.842788;   0.6024; 344.074390;   0.0025; 213.917178;  0.6042;  -1.276901;  0.0933;   0.851427;  0.0025; 310.120706;  0.6042; 351.496387;  0.3267;    4.166070;  0.0950;   0.248038;  0.0069;   3.973620;  0.1170;   3.116463;  0.0355; 145.68065;  0.3631; +22.08038;  0.4088; 176.53253;  0.6731;  59.69036;  0.4105;  18.11188;  0.0110;  17.28152;  0.0628;    52.355008;  0.0001;    -2.560678;  0.0005;  85.3605;    0.09;    52.406814;  0.0003;    -2.565850;  0.0005;  75.3648;    0.03;     0.65;  +1.18;  79.8400; 0.552; 1.30e-04; 39.45;        62.84;   True;   True;    5; UK003F,UK003R,UK003X,UK0050,UK0067
